Artist,Song,Lyrics
Lilit Hovhannisyan,Ես Եմ հորինել (Yes Em Horinel),"
Աչքերումս ծով արցունք ու ցավ

Սերը իմ մոխիր դարձավ...

Վերացավ ու մութ է մութ է իմ սրտուուու ուում

Ամեն ինչ այնքան արագ անցավ

Խիղջդ ու՞ր անհետացավ

Ձայնը իմ դու միթե միթե չես լսուուու ուուում

Ես հիմա դողում եմ ու մրսում:


Իմ սերը ես եմ ես եմ հորինել

Դու ինձ երբեք էլ չես սիրել

Քեզ երանի չիմանայի, ու քո կողքին չմայի

Սեր խնդրելով օր ու գիշեը

Էլ չեմ ուզում անունդ հիշել...


Քեզ համար գտիր ուրիշ մեկին

Քեզ ներել եշ իմ անգին

Տես արդեն էլ չեմ լացում չեմ հառաչուուու ուուում

Չգիտեմ թե ինչ կա քո մտքին

Բայց քո սառնասիրտ հոգին

Ինձ օտար է քեզ հիմա չեմ ճանաչուուու ուուում

Ինձ ստում ես ու չես ամաչում:

Իմ սերը ես եմ ես եմ հորինել


Դու ինձ երբեք էլ չես սիրել

Քեզ երանի չիմանայի, ու քո կողքին չմայի

Սեր խնդրելով օր ու գիշեը

Էլ չեմ ուզում անունդ հիշեեեել եեեես

Իմ սերը ես եմ ես եմ հորինել

Դու ինձ երբեք էլ չես սիրել

Քեզ երանի չիմանայի, ու քո կողքին չմայի

Սեր խնդրելով օր ու գիշեը

Էլ չեմ ուզում անունդ հիշել..."
Lilit Hovhannisyan,Ինչու Եմ Կեզ Սիրում (Inchu Em Kez Sirum),"
[Intro: Mihran Tsarukyan]

Ով է քո այդ աչքերը արարել

Ով է իմ սրտում սերը վարարել, սիրելիս

Ով է ինձ այսքան երջանկություն նվիրել

Ես սավառնում եմ վեր քեզ տեսնելիս

Ու հալվում եմ քո ձայնը լսելիս, սիրելիս

Դե ասա այդ ով է ինձ այսքան սեր տվել

Չեմ թողնի ինձնից հեռանաս

Չեմ թողնի նորից դու դառնաս

Ինձ համար անհաս

Ես ուզում եմ իմանաս


[Verse 1: Lilit Hovhannisyan, 
Mihran Tsarukyan
 & 
Both
]

Քո սիրով հոգիս վարակել ես

Աղետից անսեր ինձ փրկել ես

Դու եկել ես ու ներկել ես կյանքս վառ գույներով

Հենց ժպտում են ինձ քո աչքերըՎանդակում փակված իմ սերըԱրձակվում է, հարձակվում էՈւ քեզ փարվում կարոտով

Այսպիսի մեծ սեր, չեմ էլ երազելԹե ինչու եմ քեզ սիրումՉեմ կարողանում բառերով ասել


[Chorus: Lilit Hovhannisyan]

Հենց դու եղար պատճառը

Որ այսքան սիրեցի այս կյանքը

Ու մեզ պիտի օր օրի

Սիրո քամին էլ ավելի ուժեղ օրորի

Մեր սերը ես ու դու, շուրջ պար բռնած

Համբույրից արբած երկնքի տակ բաց, երդվեցինք

Լինել միշտ անբաժան և լավ և վատ օրերին

Չթողնես քեզնից հեռանամ

Չթողնես նորից ես դառնամ

Քեզ համար անհաս

Ես ուզում եմ իմանաս
"
Lilit Hovhannisyan,Տու Տու Տու (Tu Tu Tu),"
Sirts mi or kular txur, mekel tesa qez champis

Sksa qaylel molor-molor, hetevecir du indz hogis

Lsir indzi, vor du gtar, qo erazac axjkan

Too too too, hankarc mer ser@

Char mardik achqov chtan


Na noren, na noren

Gisherov taqun, mer aygin kuga

U noren, u noren

Xostumner antiv, anhashiv kuta

Ax du na noren, im hogin noren

Hambuyrovt eli kayres, tes hayrs chimana


Heriq sirov, du indz ayres

Chga hayrs imana, miayn daten, astvac kanches

Vor ayd cavin, na dimana

Hima mekn e cankutyuns

Urish mek@ chxli

Chtox na erjankutyuns

Too too too eli eli


Na noren, na noren

Gisherov taqun, mer aygin kuga

U noren, u noren

Xostumner antiv, anhashiv kuta

Ax du na noren, im hogin noren

Hambuyrovt eli kayres, tes hayrs chimana
"
Lilit Hovhannisyan,Ռեքվիեմ (Requiem),"
Ահա, լսիր դու ռեքվիեմը իմ սիրո

Վերքերը իմ, մեղքերը քո ես չեմ կարող թվել:

Էլ սեր չկա, լռիր, էլ պետք չէ երդվել

Ես հետ կգամ քեզ մոտ միայն թե էլ (միայն թե էլ)


(ԿՐԿՆԵՐԳ)

Էլ ինձ հանկարծ ցավ չտաս

Չէ, քեզ ներելով ես ինձ խաբում եմ

Խավարի մեջ խարխափում եմ:

Էլ ինձ հանկարծ մոտ չգաս

Սեր չկա, ես առանց սեր մեռնում եմ

Բայց հիմա վերադառնում եմ հետ:


Ահա ունեմ մահվան կնիքը մեր սիրո

Երկու անծանոթի պես օտար ենք` դու ու ես:

Դու երկնքում քո դատաստանը կտեսնես

Իսկ ես ներում եմ, բայց խնդրում եմ քեզ (խնդրում եմ քեզ)


(ԿՐԿՆԵՐԳ)

Էլ ինձ հանկարծ ցավ չտաս

Չէ, քեզ ներելով ես ինձ խաբում եմ

Խավարի մեջ խարխափում եմ:

Էլ ինձ հանկարծ մոտ չգաս

Սեր չկա, ես առանց սեր մեռնում եմ

Բայց հիմա վերադառնում եմ:
"
Lilit Hovhannisyan,Շատախոս Անձրև (Shatakhos Andzrev),"
Մի օր ես քեզ կտեսնեմ

Պատուհանի մոտ կանդնած

Երբ անձրևը կթափվի

Մայթերի վրա հոգնած

Մի օր ես քեզ կտեսնեմ

Պատուհանի մոտ կանդնած

Երբ անձրևը կթափվի

Մայթերի վրա հոգնած

Շատախոս անձրևը.շատախոս անձրևը

Երկնքից թափվում է ցած

Նա ինձ հիշոցնում է,նա ինձ հիշոցնում է

Երջանիկ օրերն անցած

Ես անձրևի ձայնը լսելիս

Հիշում եմ մեզ սիրելիս

Անձրևի տակ համբուրվելիս:

Շատախոս անձրևը.շատախոս անձրևը

Երկնքից թափվում է ցած

Նա մեզ հետ երգում է

Նա մեզ հետ երգում է

Երջանկությունից հարբած:

Մարդիկ կեղծ ու բարեպաշտ

Մեղավոր են անկասկած

Որ քաղաքը լի է միշտ

Բարբասանքով անբարծ:

Շատախոս անձրևը.շատախոս անձրևը

Երկնքից թափվում է ցած

Նա ինձ հիշոցնում է,նա ինձ հիշոցնում է

Երջանիկ օրերն անցած

Ես անձրևի ձայնը լսելիս

Հիշում եմ մեզ սիրելիս

Անձրևի տակ համբուրվելիս:

Շատախոս անձրևը.շատախոս անձրևը

Երկնքից թափվում է ցած

Նա մեզ հետ երգում է

Նա մեզ հետ երգում է

Երջանկությունից հարբած:

Շատախոս անձրևը.շատախոս անձրևը

Երկնքից թափվում է ցած

Նա ինձ հիշոցնում է,նա ինձ հիշոցնում է

Երջանիկ օրերն անցած

Շատախոս անձրևը.շատախոս անձրևը

Երկնքից թափվում է ցած

Նա մեզ հետ երգում է

Նա մեզ հետ երգում է

Երջանկությունից հարբած:

Ես անձրևի ձայնը լսելիս

Հիշում եմ մեզ սիրելիս

Անձչևի տակ համբուրվելիս:

Շատախոս անձրևը.շատախոս անձրևը

Երկնքից թափվում է ցած

Նա մեզ հետ երգում է

Նա մեզ հետ երգում է

Երջանկությունից հարբած:

Եւ մեր քնքուշ սերը,անձրևի պես սեր իմ

Ցեխոտ մայթերին մնաց

Եւ քո արցունքները և քո երդումները

Ախ կեղտոտվեցին հանկարծ:"
Lilit Hovhannisyan,Գնչու (Gnchu),"
Երբեք էլ չեմ ասի երբեք

Սրտիս վրա դրել էի մի մեծ կողպեք

Իսկ հիմա կյանքս առանց քեզ

Չարժե անգամ մի քոռ կոպեկ:


Գնչուհի քո մայրը մի անգամ գուշակեց ճակատագիրս

Նա ասաց՝ հեռու ման չգամ, բախտս դու ես, իմ կողքին ես:

Գնչուհի քո մայրը մի օր գուշակեց ճակատագիրս

Բայց ինչու՞ չասաց նա ինձ, որ դու անսիրտ ու անհոգի ես:


(ԿՐԿՆԵՐԳ)

Մայրդ, որ գիտի, գիտի, գիտի թե դու ով ես

Ա՜խր, նա պիտի, պիտի, պիտի ինձնից հետ պահեր քեզ:

Իմ սիրած տղան գնչու է

Ու չեմ հասկանում՝ ինչու՞ է սիրտը իմ նրան ընտրել

Ձեռքն է իմ այսօր խնդրել:

Նա նա նեյ, նա նա նա նեյնա

Նա նա նեյ, նա նա նա նեյնա...


Աղջիկներ, այ այն փողոցով, տեսեք, նա էլի գալիս է

Չթողնեք միայն երկուսով մնալ, սիրտը իմ լալիս է:

Աղջիկներ, այ այն փողոցով, տեսեք, նա էլի գալիս է

Չթողնեք մնանք երկուսով, ա՜խ, իմ խեղճ հոգին լալիս է:


(ԿՐԿՆԵՐԳ)

Մայրդ, որ գիտի, գիտի, գիտի թե դու ով ես

Ա՜խր, նա պիտի, պիտի, պիտի ինձնից հետ պահեր քեզ:

Իմ սիրած տղան գնչու է

Ու չեմ հասկանում՝ ինչու՞ է սիրտը իմ նրան ընտրել

Ձեռքն է իմ այսօր խնդրել:

Նա նա նեյ, նա նա նա նեյնա

Նա նա նեյ, նա նա նա նեյնա....
"
Lilit Hovhannisyan,Թե Աղջիկ Լինեիր (Te Axchik Lineir),"
Սիրեցիր ինձ, սիրեցի քեզ

Ու մի օր դարձա քո ընկերուհին:

Կարծեցի ես` խելացի ես

Բայց արի ու տես` սխալվել եմ կրկին:


Ա՜խ, ինչու՞ ես սիրեցի քեզ

Ու ինչու՞ դարձա քո ընկերուհին:

Փորձեցի քեզ մոռանալ ես

Բայց արի ու տես` կարոտում եմ կրկին քեզ:


Դու մռայլ երկինք ես

Բայց ուզում եմ ես` կողքիս լինես:


Դու եթե, եթե աղջիկ լինեիր

Ու մեկին սիրեիր

Եվ եթե նա նման լիներ քեզ

Դու շուտ կհեռանաիր:

Դու եթե, եթե աղջիկ լինեիր

Ինձ կհասկանաիր

Էլ քո, Էլ քո ոչինչ չասող հայացքով վրաս մի նայիր:

Պիտի, պիտի աղջիկ լինեիր

Ու ինձ, ու ինձ դու կհասկանաիր:


Թե ուզում ես հեռացիր, բայց

Մոտավորապես մի՛ սիրիր դու էլ ինձ:

Թե ուզում ես ինձ հոգիդ բաց

Չլինի խաբես ինձ էլի, սիրելի՛ս:
"
Lilit Hovhannisyan,Իմ Սրտին Ասա (Im Srtin Asa),"
[Intro]

Ինձ նայիր մի պահ, երազում եմ

Ինքս ինձ խաբում ու սպասում եմ

Ախ դժվար է ինձ, երբ դու չկաս կողքիս

Ես ով եմ?

Երազիս կրկին, ինձ համբուրում էիր

Ու սիրով հոգիս լուսավորում էիր

Արթնացա քնից, չկաս նորից

Դու լուռ հեռացար, սիրտս դառնացած լռում է

Դու ինձ մոռացար, լույսս առանց քեզ հիմա մարում է


[Chorus]

Իմ սրտին ասա

Որ դու իմը չես, չսպասի էլ քեզ

Որ քեզ մոռանա, չտանջվեմ էլ ես

Որ դու ինձ լքեցիր, այլ ոչ թե ես

Իմ սրտին ասա

Թող ինձ չմեղադրի, մեղավոր չեմ ես

Այ դու ինձ քո սրտից հանեցիր

Ու ես խնդրում եմ քեզանից միայն հիմա

Իմ սրտին ասա, որ գոնե սիրել ես


[Verse 1]

Ես ուժ եմ հավաքում, ու շնչում եմ

Սիրտս չի ուզում, մի կերպ ապրում եմ

Արցունքիս ծովում ես դեռ լողում եմ

Առանց քեզ խեղդվում եմ

Ախ գժվում եմ ես, կարոտում եմ

Չգիտեմ ինչպես, բայց քեզ ներում եմ

Աղաչում եմ քեզ, այս ցավից բուժես

Դու ինձ լքեցիր, ես հիմա խաբված, լքված եմ

Դու ինձ խոցեցիր, սիրտս միշտ լցված, աչքերս թաց են
"
Lilit Hovhannisyan,Քեզ Մի Օր Տողեցի (Qez Mi Or Togheci),"
Քեզ մի օր թողեցի, սերը իմ թաղեցի սև հողի տակ

Որ քեզ սիրտը իմ մեկընդմիշտ մոռանա:

Ես էլ հետ չեմ դառնա հին կյանքին իմ խավար ու մթի:



Քեզ մի օր թողեցի ու կյանքը իմ հիմքից փոխեցի

Եվ հիմա ապրում եմ ես՝ մոռանալով

Թե ինչպես իմ կողքին մեռնում էին

Քո սիրտն ու հոգին՝ կուրանալով, ինձ ուրանալով:


Իմ սերը հիմա դարձել է թշվառ

Ու առանց քեզ ապրելն է դժվար

Բայց քեզանից հեռանալով ես փրկեցի ինձ

Ինձ փրկեցի անվերջ վեճերից:

Այդպիսի կյանք ու սեր պետք չէր ինձ

Հեռանալով ազատվեցի ես քո դժոխքից:


Ես մեռնում էի քո սառը մի հայացքից ու ծնվում՝ քո բարի մի խոսքից

Ո՞նց կարող էիր դու տալ հարված մի մարդու

Ով քեզ ավել եր դասում իր կյանքից:


Պետք չէր քեզ հավատալ ու անխելքի նման սերս տալ՝

Ժպիտ անգամ չստանալով:

Ա՜խր, հենց իմ կողքին մեռնում էին

Քո սիրտն ու հոգին՝ կուրանալով, ինձ ուրանալով:
"
Lilit Hovhannisyan,Ելի Լիլիթ (Eli Lilit),"
[Intro]

Շատ հերու հերու եմ, գնալու ես

Ինզ ելի կարոտում մնալու ես

Ու կե մորանաս դու իմ դիմագցերե

Գիդեյիր տե հեշտե սերե իմ ձուրե կցելե


[Verse 1]

Շատ հերու հերու եմ, գնալու ես

Ինզ ելի կարոտում մնալու ես

Ու կե մորանաս դու իմ դիմագցերե

Գիդեյիր տե հեշտե սերե իմ ձուրե կցելե


[Chorus]

Հեյ ելի ելի գնում ու գալիս ես

Վոչ խոստումներ տալիսես

Միտէ մեխկդ չեմ գալիս ես

Հեյ ելի ելի գնում ու գալիս ես

Վոչ խոստումներ տալիսես

Միտէ մեխկդ չեմ գալիս ես


[Verse 2]

Առանզ ինզ գիդես դիմանալուես

Գիդես տեղե իմ իմանալուես

Տէ գիդես կարիկե իմ չես զգալու դու

Տէ գիդես չես լացելու, սկալու դու
"
Lilit Hovhannisyan,Balkan Song,"
Այդ քո խանդը բաժանեց մեզ

Մեկը մեկն էր քո նպատակը

Որ տիրես ինձ, որ լինեմ ես քո գերին քո հպատակը

Այդ քո խանդը բաժանեց մեզ

Մեկը մեկն էր քո նպատակը

Որ տիրես ինձ, որ լինեմ ես քո գերին քո հպատակը

Սերս դուրս գալու ես, ու մոտս գալու ես


ԿՐԿՆԵՐԿ:



Հալվելու ես


, հալվելու ես

Դու սիրուց իմ հալվելու ես

Ու ես ուր ել որ լինեմ դու

Հետ գալու ու ինձ փարվելու ես


ԿՐԿՆԵՐԿ:

Հալվելու ես, հալվելու ես

Դու սիրուց իմ հալվելու ես

Ու ես ուր ել որ լինեմ դու

Հետ գալու ու ինձ փարվելու ես


Փլվելու է, փլվելու է, փլվելու է

Մեր միջի պատը

Այն պահից էրբ չվիճենք էլ

Ով էր ճիշտը ով էր վատը


Փլվելու է, փլվելու է, փլվելու է

Մեր միջի պատը

Այն պահից էրբ չվիճենք էլ

Ով էր ճիշտը ով էր վատը
"
Lilit Hovhannisyan,Մեղավոր (Meghavor),"
[Intro]

Մի լրիր ասա նրան տե քո սրտում կա սեր

Մետց մայրիկս ինդզ երեվի կասեր

Իսկ ես արելեմ հակարակե, լուռեմ մնացել

Ու դու չես ել իմացել

Վոր կտրվումեյի հողիտց քո մի համպյուրիտց

Ու սիրահարվում կեզ նորիտց ու նորիտց


[Chorus]

Մեղավորե ես եյի

Պիտի սրտիս լսեյի

Վոր արանդձ կեզ չեմ կարող

Ամեն որ պիտի կեզ ասեյի


[Chorus]

Մեղավորե ես եյի

Պիտի սրտիս լսեյի

Վոր արանդձ կեզ չեմ կարող

Ամեն որ պիտի կեզ ասեյի

Ամեն որ պիտի կեզ ասեյի


[Verse 1]

Տե ուրիշե քո կողկի սիրուց հպառտ կայլի

Մեղավորե ես եյի տես վոր չեմ երկում

Քո սիրուց ուրիշ այգի երեսե կե պայլի

Իսկ ես երկնեմ այս երկում

Իմ սուս ու պուս սիրել է սեր մեր գորցանեց

Ու քո սրտում նոր սեր ցնետց
"
Lilit Hovhannisyan,ՀԵՏԴԻՄՈ (HETDIMO),"
[Verse 1]

Մտա մտամոլոր ներս

Շեմից մռայլ քո ամրոցի

Մտա մտամոլոր ներս

Մտա ու մինչ օրս ապրեցի:

HETDIMO HETDIMO HETDIMOրերն էին մթնել

Ինձ պատել էին սառը մտքեր

Whatchya gonna do I don't care



Մտա մտամոլոր ներս

Շեմից ցուրտ ու խավար քո տան

Մտա ու ինձ ասացիր՝ ես

Քեզ լույս ու ջերմություն կտամ։

MOTDIMO, MOTDIMO, MOTDIMOրերն էին մթնել

Ինձ պատել էին սառը մտքեր

Whatchya gonna do I don't care



[Chorus]

Հեռանում եմ, ես հեռանում եմ, հեռանում եմ,չեմ ուզում էլ ապրել խաբված

Մոռանում եմ, քեզ մոռանում եմ, Mոռանում եմ, ամեն ինչը քեզ հետ կապված։

Ամեն ինչը քեզ հետ կապված

Ամեն ինչը քեզ հետ կապված...

"
Lilit Hovhannisyan,De El Mi,"
[Տուն 1]

Քո խռպոտ ձայնով ինձ երեկ ասացիր

«Արի ամուսնանանք»։

Երբ տեսար՝ հույս չկա, թողիր, գնացիր

Ու էլ քեզ չգտանք

Ո՞նց քո կինը դառնամ, մի պահ մտածի՛ր

ՈՒ եկ այդ մասին մոռանանք


Դե էլ մի

Դե էլ մի

Դե էլ մի բարկացրու՛ ինձ


Վե՛ր կաց հենց հիմա ու արի, արի

Ինձ հրավիրիր պարի

Կամ պարի՛ր,կամ էլ տուն ճանապարհի՛ր ինձ

Հերի՛ք, հերի՛ք, հերի՛ք է։


[Կրկներգ]

Ո՞նց իմ սիրտը քեզ տամ էլի

Ո՞նց էլ քեզ հավատամ էլի

Դու դարձել ես անտանելի

Չունեմ էլ քո կարիքը։

Ո՞նց լինեմ էլ քո կինը ես

Ո՞նց լինեմ քո կողքինը ես

Չգիտես դու իմ գինը

Ես գիտեմ գլխիս գալիքը։
"
Lilit Hovhannisyan,Armenian Girl,"
I met you yesterday

Oh I met you yesterday

When I was busy shopping

Shopping at Bloomingdales

You then came up to me

Hoping I would that I would give a chance to you

You whispered in my ear

Blah Blah Blah

And asked me then

Where are you from? I said

From Armenia I am

You said: ""Wow that's cool

Hey girl isn't that where are

The Kardashians are from?""

I said: Yeah, but hold on

Just relax don't move on

You can't mess with me baby

Mess with me just for fun

You don't know it yet

The ambitions of armenian girls

Cause I'm not a super star

Neither a queen or princess

Not a rich man's girl

I just don't trust these guys

You can't mess with me, can't mess with me baby

Cause I am an armenian girl

Cause Iiii, I am not a super star

And I am not a queen or princess Iiiiii

Just don't ever trust these guys

I just don't ever trust these guys

Today's another day

But you still keep on chasing me

You talk about Lo-Lo-Love

How you La la la la Love me

But there's no need to rush

No no no don't rush

You've got to prove to me

I said -- Yeah but hold on

Just relax don't move on

You can't mess with me baby

Mess with me just for fun

You don't know it yet

The ambitions of armenian girls

Cause I'm not a super star

Neither a queen or princess

Not a rich man's girl

I just don't trust these guys

You can't mess with me, can't mess with me baby

Cause I am an armenian girl

Cause Iiii, I am not a super star

And I am not a queen or princess Iiiiii

Just don't ever trust these guys

I just don't ever trust these guys"
Lilit Hovhannisyan,Dream,"
[Intro]

Սիրեցիր ինդզ ու այն պահից յերբ դու իմ սիրտն մտար

Իմ տախից ու տխրուցյուն ինդզ դարցան

Իմ տախից ու տխրուցյուն ինդզ դարցան

Ես տողնումեմ այս կաղակե, ինդզ կղզին քո տար


[Chorus]

Հոկին իմ վառ, սիրով քոլի, տալիսեմ հիմա

Սիրահարվել եմ կեզ մոլի մոլի

Հոկին իմ վառ, սիրով քոլի, տալիսեմ հիմա

Սիրահարվել եմ կեզ մոլի մոլի


[Verse 1]

Ձերմուցյունե դու ես դու ել

Ցուռտե չեմ ատի

Կանի կաս դու իմ սրտին ել մուտ չի պատի


[Chorus]

Հոկին իմ վառ, սիրով քոլի, տալիսեմ հիմա

Սիրահարվել եմ կեզ մոլի մոլի

Հոկին իմ վառ, սիրով քոլի, տալիսեմ հիմա

Սիրահարվել եմ կեզ մոլի մոլի


[Bridge]

Հաձախ եմ կեզ հետ անվերչ, քո գտաց կղզում

Սիրտե իմ ամեն վարկյան մոտետ է վազում

Ախ կեզ հետ իմ կյանկե լինի երազանկներով լցում

Ու ամեն վարկյան լիներ քեզ պարվել ուզում
"
Lilit Hovhannisyan,Քամի (Qami),"
Մեն-մենակ եմ ես հիմա նորից այս ցրտին

Դու շատ ես ինձ տանջել

Շատ իզուր եմ ես այն ժամանակ

Իմ սրտին անունը քո դաջել:


Ահա նորից ես քեզ հիշել եմ գիշերը խավար

Ու այս ուշ ժամին արթնացել, ու դարձել է

Իմ չար թշնամին քամին:


Երևի մենակ ես ու ծովի այն կողմում

Մրսում ես ու դողում

Իսկ քամին գրկել է ինձ ու բաց չի թողնում

Իր բույնն է դրել նա իմ անկողնում:


Ես քեզ հիշել եմ գիշերը խավար

Ու այս ուշ ժամին արթնացել, ու դարձել է

Իմ չար թշնամին քամին:"
Genius English Translations,Lilit Hovhannisyan - De El Mi (English Translation),"
You told me yesterday with your hoarse voice

""Let's get married""

When you saw there was no hope, you got up and left

And I didn't see you again

How can I become your wife? Think for a second

Let's forget about it


Don't bother

Don't bother

Don't bother aggravating me again


Get up right now and come, come

Invite me to dance

Either dance with me or see me to my house

Enough, enough, enough


.

How can I give my heart to you again?

How can I trust you again?

You've become unbearable

I don't need your opinion anymore

How can I become your wife?

How can I remain by your side?

You don't know my worth

I know my destiny
"
